,U.S.,Boston
Income before taxes,"$72,156 ","$91,781 "
Age of reference person,50.7,49.4
Average number in consumer unit:,,
People,2.5,2.2
Children under 18,0.6,0.5
Adults 65 and over,0.4,0.4
Earners,1.3,1.3
Vehicles,1.9,1.4
Percent homeowner,62,54
,,
Average annual expenditures,"$56,648 ","$68,119 "
Percent distribution:,,
Total,100,100
Food,12.6,11.2
Alcoholic beverages,0.9,1
Housing,32.9,39.2
Apparel and services,3.2,2.6
Transportation,16.4,12.4
Healthcare,7.9,6.4
Entertainment,5.1,5.1
Personal care,1.2,1.1
Reading,0.2,0.2
Education,2.3,2.6
Tobacco,0.6,0.4
Miscellaneous,1.6,1.6
Cash,3.4,3.9
Personal,11.6,12.1
