GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D010,% Hispanic,% White,% Black,% Asian,D011
Id,Id2,Geography,Total:,Hispanic or Latino,Not Hispanic or Latino:,Not Hispanic or Latino: - Population of one race:,Not Hispanic or Latino: - Population of one race: - White alone,Not Hispanic or Latino: - Population of one race: - Black or African American alone,Not Hispanic or Latino: - Population of one race: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Population of one race: - Asian alone,Not Hispanic or Latino: - Population of one race: - Some Other Race alone,,,,,Not Hispanic or Latino: - Two or More Races:
1580000US2507000025000100,25025000100,"Census Tract 1, Suffolk County (part), Boston city, Massachusetts",3675,459,3216,3090,2317,186,3,398,186,0.124897959,0.63047619,0.050612245,0.10829932,126
1580000US2507000025000201,25025000201,"Census Tract 2.01, Suffolk County (part), Boston city, Massachusetts",3415,276,3139,3076,2565,176,4,274,56,0.080819912,0.751098097,0.051537335,0.080234261,63
1580000US2507000025000202,25025000202,"Census Tract 2.02, Suffolk County (part), Boston city, Massachusetts",3229,378,2851,2816,2153,189,8,428,38,0.117064107,0.666769898,0.058532053,0.132548777,35
1580000US2507000025000301,25025000301,"Census Tract 3.01, Suffolk County (part), Boston city, Massachusetts",2467,152,2315,2280,1906,106,0,250,18,0.061613296,0.772598298,0.042967167,0.101337657,35
1580000US2507000025000302,25025000302,"Census Tract 3.02, Suffolk County (part), Boston city, Massachusetts",2832,176,2656,2623,2130,72,1,396,24,0.062146893,0.752118644,0.025423729,0.139830508,33
1580000US2507000025000401,25025000401,"Census Tract 4.01, Suffolk County (part), Boston city, Massachusetts",5268,244,5024,4942,3837,125,2,951,26,0.046317388,0.728359909,0.02372817,0.180523918,82
1580000US2507000025000402,25025000402,"Census Tract 4.02, Suffolk County (part), Boston city, Massachusetts",3282,168,3114,3042,2464,69,0,484,23,0.0511883,0.750761731,0.021023766,0.147471054,72
1580000US2507000025000502,25025000502,"Census Tract 5.02, Suffolk County (part), Boston city, Massachusetts",6218,442,5776,5642,4665,267,6,686,16,0.07108395,0.750241235,0.042939852,0.110324863,134
1580000US2507000025000503,25025000503,"Census Tract 5.03, Suffolk County (part), Boston city, Massachusetts",2157,90,2067,2026,1710,54,2,249,11,0.041724618,0.792767733,0.025034771,0.115438108,41
1580000US2507000025000504,25025000504,"Census Tract 5.04, Suffolk County (part), Boston city, Massachusetts",4825,294,4531,4458,3783,161,4,496,11,0.060932642,0.784041451,0.033367876,0.102797927,73
1580000US2507000025000601,25025000601,"Census Tract 6.01, Suffolk County (part), Boston city, Massachusetts",3276,247,3029,2963,2323,76,2,478,84,0.075396825,0.709096459,0.023199023,0.145909646,66
1580000US2507000025000602,25025000602,"Census Tract 6.02, Suffolk County (part), Boston city, Massachusetts",3498,440,3058,2971,2066,304,3,570,26,0.125786164,0.590623213,0.086906804,0.162950257,87
1580000US2507000025000701,25025000701,"Census Tract 7.01, Suffolk County (part), Boston city, Massachusetts",4274,305,3969,3866,2979,165,4,673,41,0.071361722,0.697005147,0.038605522,0.157463734,103
1580000US2507000025000703,25025000703,"Census Tract 7.03, Suffolk County (part), Boston city, Massachusetts",2733,180,2553,2467,1681,85,3,647,50,0.06586169,0.615075009,0.031101354,0.236736187,86
1580000US2507000025000704,25025000704,"Census Tract 7.04, Suffolk County (part), Boston city, Massachusetts",4558,496,4062,3962,2829,253,3,809,64,0.108819658,0.620666959,0.055506801,0.177490127,100
1580000US2507000025000802,25025000802,"Census Tract 8.02, Suffolk County (part), Boston city, Massachusetts",7465,1201,6264,6059,4137,273,6,1417,223,0.160884126,0.554186202,0.036570663,0.189819156,205
1580000US2507000025000803,25025000803,"Census Tract 8.03, Suffolk County (part), Boston city, Massachusetts",6395,541,5854,5620,3875,363,6,1355,20,0.084597342,0.605942142,0.056763096,0.211884285,234
1580000US2507000025010103,25025010103,"Census Tract 101.03, Suffolk County (part), Boston city, Massachusetts",4550,347,4203,4040,2568,127,4,1320,21,0.076263736,0.564395604,0.027912088,0.29010989,163
1580000US2507000025010104,25025010104,"Census Tract 101.04, Suffolk County (part), Boston city, Massachusetts",4701,397,4304,4170,3065,128,8,955,14,0.084450117,0.651988939,0.027228249,0.203148266,134
1580000US2507000025010203,25025010203,"Census Tract 102.03, Suffolk County (part), Boston city, Massachusetts",5400,525,4875,4719,3550,241,11,893,20,0.097222222,0.657407407,0.04462963,0.16537037,156
1580000US2507000025010204,25025010204,"Census Tract 102.04, Suffolk County (part), Boston city, Massachusetts",3142,176,2966,2874,2117,88,3,659,7,0.056015277,0.673774666,0.028007638,0.20973902,92
1580000US2507000025010300,25025010300,"Census Tract 103, Suffolk County (part), Boston city, Massachusetts",4727,388,4339,4204,3359,345,3,474,19,0.082081659,0.710598688,0.07298498,0.100275016,135
1580000US2507000025010403,25025010403,"Census Tract 104.03, Suffolk County (part), Boston city, Massachusetts",2898,262,2636,2562,1657,273,10,612,10,0.090407177,0.571773637,0.094202899,0.211180124,74
1580000US2507000025010404,25025010404,"Census Tract 104.04, Suffolk County (part), Boston city, Massachusetts",5733,363,5370,5241,4048,238,4,924,23,0.063317635,0.706087563,0.041514042,0.161172161,129
1580000US2507000025010405,25025010405,"Census Tract 104.05, Suffolk County (part), Boston city, Massachusetts",5402,383,5019,4878,3754,390,9,708,15,0.070899667,0.694927805,0.072195483,0.131062569,141
1580000US2507000025010408,25025010408,"Census Tract 104.08, Suffolk County (part), Boston city, Massachusetts",1380,115,1265,1248,1008,35,2,201,1,0.083333333,0.730434783,0.025362319,0.145652174,17
1580000US2507000025010500,25025010500,"Census Tract 105, Suffolk County (part), Boston city, Massachusetts",2929,261,2668,2616,1923,278,4,398,12,0.089108911,0.656538068,0.09491294,0.135882554,52
1580000US2507000025010600,25025010600,"Census Tract 106, Suffolk County (part), Boston city, Massachusetts",2679,143,2536,2503,2019,133,2,345,4,0.053378126,0.753639418,0.04964539,0.128779395,33
1580000US2507000025010701,25025010701,"Census Tract 107.01, Suffolk County (part), Boston city, Massachusetts",2367,135,2232,2184,1907,57,2,205,13,0.057034221,0.805661174,0.024081115,0.08660752,48
1580000US2507000025010702,25025010702,"Census Tract 107.02, Suffolk County (part), Boston city, Massachusetts",2235,99,2136,2112,1936,53,2,117,3,0.044295302,0.866219239,0.023713647,0.052348993,24
1580000US2507000025010801,25025010801,"Census Tract 108.01, Suffolk County (part), Boston city, Massachusetts",2608,131,2477,2437,2196,62,3,172,4,0.050230061,0.84202454,0.023773006,0.06595092,40
1580000US2507000025010802,25025010802,"Census Tract 108.02, Suffolk County (part), Boston city, Massachusetts",2854,113,2741,2695,2371,47,0,265,12,0.039593553,0.83076384,0.016468115,0.092852137,46
1580000US2507000025020101,25025020101,"Census Tract 201.01, Suffolk County (part), Boston city, Massachusetts",3729,116,3613,3587,3378,25,1,171,11,0.031107536,0.905872888,0.00670421,0.045856798,26
1580000US2507000025020200,25025020200,"Census Tract 202, Suffolk County (part), Boston city, Massachusetts",3494,163,3331,3272,2933,99,2,230,8,0.046651402,0.839439038,0.028334287,0.065827132,59
1580000US2507000025020301,25025020301,"Census Tract 203.01, Suffolk County (part), Boston city, Massachusetts",1906,98,1808,1783,1338,50,2,389,4,0.051416579,0.701993704,0.026232949,0.20409234,25
1580000US2507000025020302,25025020302,"Census Tract 203.02, Suffolk County (part), Boston city, Massachusetts",1124,51,1073,1059,966,31,1,58,3,0.045373665,0.859430605,0.027580071,0.051601423,14
1580000US2507000025020303,25025020303,"Census Tract 203.03, Suffolk County (part), Boston city, Massachusetts",3172,348,2824,2777,1933,530,6,301,6,0.109709962,0.609394704,0.167087011,0.094892812,47
