GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD05,VD08,VD11,,,,
Id,Id2,Geography,Total:,Less than 30 minutes:,30 to 44 minutes:,45 to 59 minutes:,60 or more minutes:,% <30,% 30-44,% 45-59,% 60+
1580000US2507000025000100,2.507E+15,"Census Tract 1, Suffolk County (part), Boston city, Massachusetts",2242,1184,639,282,137,0.528099911,0.285013381,0.125780553,0.061106155
1580000US2507000025000201,2.507E+15,"Census Tract 2.01, Suffolk County (part), Boston city, Massachusetts",2646,1354,978,228,86,0.511715797,0.369614512,0.0861678,0.03250189
1580000US2507000025000202,2.507E+15,"Census Tract 2.02, Suffolk County (part), Boston city, Massachusetts",2155,1117,785,179,74,0.518329466,0.364269142,0.083062645,0.034338747
1580000US2507000025000301,2.507E+15,"Census Tract 3.01, Suffolk County (part), Boston city, Massachusetts",1600,762,605,163,70,0.47625,0.378125,0.101875,0.04375
1580000US2507000025000302,2.507E+15,"Census Tract 3.02, Suffolk County (part), Boston city, Massachusetts",1962,897,687,212,166,0.457186544,0.350152905,0.108053007,0.084607543
1580000US2507000025000401,2.507E+15,"Census Tract 4.01, Suffolk County (part), Boston city, Massachusetts",2898,1129,954,489,326,0.38957902,0.329192547,0.16873706,0.112491373
1580000US2507000025000402,2.507E+15,"Census Tract 4.02, Suffolk County (part), Boston city, Massachusetts",2065,946,627,356,136,0.45811138,0.303631961,0.172397094,0.065859564
1580000US2507000025000501,2.507E+15,"Census Tract 5.01, Suffolk County (part), Boston city, Massachusetts",4848,1583,1777,1061,427,0.326526403,0.366542904,0.218853135,0.088077558
1580000US2507000025000502,2.507E+15,"Census Tract 5.02, Suffolk County (part), Boston city, Massachusetts",2028,705,738,470,115,0.347633136,0.363905325,0.231755424,0.056706114
1580000US2507000025000601,2.507E+15,"Census Tract 6.01, Suffolk County (part), Boston city, Massachusetts",1825,942,529,257,97,0.516164384,0.289863014,0.140821918,0.053150685
1580000US2507000025000602,2.507E+15,"Census Tract 6.02, Suffolk County (part), Boston city, Massachusetts",1915,856,672,197,190,0.446997389,0.350913838,0.102872063,0.09921671
1580000US2507000025000701,2.507E+15,"Census Tract 7.01, Suffolk County (part), Boston city, Massachusetts",2989,1100,1034,657,198,0.368016059,0.345935095,0.219805955,0.066242891
1580000US2507000025000702,2.507E+15,"Census Tract 7.02, Suffolk County (part), Boston city, Massachusetts",4382,2127,1411,523,321,0.485394797,0.321999087,0.119351894,0.073254222
1580000US2507000025000801,2.507E+15,"Census Tract 8.01, Suffolk County (part), Boston city, Massachusetts",864,585,175,55,49,0.677083333,0.202546296,0.063657407,0.056712963
