GEO.id,GEO.id2,GEO.display-label,,,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020
Id,Id2,Geography,Single Mothers,Families with Children,Total:,Husband-wife family:,Husband-wife family: - With own children under 18 years:,Husband-wife family: - With own children under 18 years: - Under 6 years only,Husband-wife family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Husband-wife family: - With own children under 18 years: - 6 to 17 years only,Husband-wife family: - No own children under 18 years,Other family:,"Other family: - Male householder, no wife present:","Other family: - Male householder, no wife present: - With own children under 18 years:","Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Other family: - Male householder, no wife present: - No own children under 18 years","Other family: - Female householder, no husband present:","Other family: - Female householder, no husband present: - With own children under 18 years:","Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Other family: - Female householder, no husband present: - No own children under 18 years"
1580000US2507000025000100,25025000100,"Census Tract 1, Suffolk County (part), Boston city, Massachusetts",85,303,698,445,194,85,35,74,251,253,91,24,8,3,13,67,162,85,18,21,46,77
1580000US2507000025000201,25025000201,"Census Tract 2.01, Suffolk County (part), Boston city, Massachusetts",63,198,571,390,123,46,25,52,267,181,53,12,3,1,8,41,128,63,19,6,38,65
1580000US2507000025000202,25025000202,"Census Tract 2.02, Suffolk County (part), Boston city, Massachusetts",134,340,711,429,192,67,34,91,237,282,58,14,2,3,9,44,224,134,17,41,76,90
1580000US2507000025000301,25025000301,"Census Tract 3.01, Suffolk County (part), Boston city, Massachusetts",32,155,463,324,114,48,13,53,210,139,50,9,5,0,4,41,89,32,4,4,24,57
1580000US2507000025000302,25025000302,"Census Tract 3.02, Suffolk County (part), Boston city, Massachusetts",23,164,545,416,133,67,11,55,283,129,37,8,2,1,5,29,92,23,3,2,18,69
1580000US2507000025000401,25025000401,"Census Tract 4.01, Suffolk County (part), Boston city, Massachusetts",28,198,834,674,162,76,36,50,512,160,58,8,3,1,4,50,102,28,10,3,15,74
1580000US2507000025000402,25025000402,"Census Tract 4.02, Suffolk County (part), Boston city, Massachusetts",20,160,473,389,138,64,27,47,251,84,22,2,2,0,0,20,62,20,5,1,14,42
1580000US2507000025000502,25025000502,"Census Tract 5.02, Suffolk County (part), Boston city, Massachusetts",7,63,391,334,50,37,2,11,284,57,22,6,3,0,3,16,35,7,4,0,3,28
1580000US2507000025000503,25025000503,"Census Tract 5.03, Suffolk County (part), Boston city, Massachusetts",10,43,246,201,33,24,3,6,168,45,15,0,0,0,0,15,30,10,3,0,7,20
1580000US2507000025000504,25025000504,"Census Tract 5.04, Suffolk County (part), Boston city, Massachusetts",16,100,534,427,83,53,13,17,344,107,36,1,0,1,0,35,71,16,3,3,10,55
1580000US2507000025000601,25025000601,"Census Tract 6.01, Suffolk County (part), Boston city, Massachusetts",20,167,521,397,141,75,18,48,256,124,41,6,2,0,4,35,83,20,13,0,7,63
1580000US2507000025000602,25025000602,"Census Tract 6.02, Suffolk County (part), Boston city, Massachusetts",127,243,667,376,105,38,22,45,271,291,47,11,5,1,5,36,244,127,30,24,73,117
1580000US2507000025000701,25025000701,"Census Tract 7.01, Suffolk County (part), Boston city, Massachusetts",21,101,474,330,72,37,9,26,258,144,64,8,5,0,3,56,80,21,11,3,7,59
1580000US2507000025000703,25025000703,"Census Tract 7.03, Suffolk County (part), Boston city, Massachusetts",3,36,157,104,30,19,4,7,74,53,29,3,1,0,2,26,24,3,1,1,1,21
1580000US2507000025000704,25025000704,"Census Tract 7.04, Suffolk County (part), Boston city, Massachusetts",47,139,512,353,86,47,13,26,267,159,43,6,3,0,3,37,116,47,15,5,27,69
1580000US2507000025000802,25025000802,"Census Tract 8.02, Suffolk County (part), Boston city, Massachusetts",80,341,924,592,228,86,45,97,364,332,135,33,15,2,16,102,197,80,33,15,32,117
1580000US2507000025000803,25025000803,"Census Tract 8.03, Suffolk County (part), Boston city, Massachusetts",31,104,260,186,66,44,2,20,120,74,17,7,4,2,1,10,57,31,3,8,20,26
1580000US2507000025010103,25025010103,"Census Tract 101.03, Suffolk County (part), Boston city, Massachusetts",0,4,50,44,4,2,1,1,40,6,3,0,0,0,0,3,3,0,0,0,0,3
1580000US2507000025010104,25025010104,"Census Tract 101.04, Suffolk County (part), Boston city, Massachusetts",8,68,381,297,58,43,5,10,239,84,25,2,0,1,1,23,59,8,1,2,5,51
1580000US2507000025010203,25025010203,"Census Tract 102.03, Suffolk County (part), Boston city, Massachusetts",42,110,549,388,65,54,1,10,323,161,48,3,2,1,0,45,113,42,14,10,18,71
1580000US2507000025010204,25025010204,"Census Tract 102.04, Suffolk County (part), Boston city, Massachusetts",5,20,115,84,14,10,0,4,70,31,13,1,0,1,0,12,18,5,4,0,1,13
1580000US2507000025010300,25025010300,"Census Tract 103, Suffolk County (part), Boston city, Massachusetts",29,69,114,57,32,13,8,11,25,57,14,8,0,0,8,6,43,29,6,10,13,14
1580000US2507000025010403,25025010403,"Census Tract 104.03, Suffolk County (part), Boston city, Massachusetts",38,71,311,214,30,16,1,13,184,97,21,3,2,0,1,18,76,38,19,7,12,38
1580000US2507000025010404,25025010404,"Census Tract 104.04, Suffolk County (part), Boston city, Massachusetts",31,51,194,98,16,8,0,8,82,96,28,4,3,0,1,24,68,31,8,6,17,37
1580000US2507000025010405,25025010405,"Census Tract 104.05, Suffolk County (part), Boston city, Massachusetts",41,58,152,83,15,6,3,6,68,69,6,2,0,0,2,4,63,41,11,2,28,22
1580000US2507000025010408,25025010408,"Census Tract 104.08, Suffolk County (part), Boston city, Massachusetts",18,33,126,90,14,9,1,4,76,36,7,1,0,0,1,6,29,18,9,1,8,11
1580000US2507000025010500,25025010500,"Census Tract 105, Suffolk County (part), Boston city, Massachusetts",15,70,310,237,51,35,7,9,186,73,22,4,1,0,3,18,51,15,7,1,7,36
1580000US2507000025010600,25025010600,"Census Tract 106, Suffolk County (part), Boston city, Massachusetts",17,123,530,460,102,86,9,7,358,70,20,4,2,1,1,16,50,17,5,1,11,33
1580000US2507000025010701,25025010701,"Census Tract 107.01, Suffolk County (part), Boston city, Massachusetts",3,79,302,273,75,46,4,25,198,29,10,1,1,0,0,9,19,3,0,0,3,16
1580000US2507000025010702,25025010702,"Census Tract 107.02, Suffolk County (part), Boston city, Massachusetts",8,92,415,382,81,45,9,27,301,33,6,3,0,2,1,3,27,8,2,0,6,19
1580000US2507000025010801,25025010801,"Census Tract 108.01, Suffolk County (part), Boston city, Massachusetts",13,114,480,439,93,59,11,23,346,41,12,8,4,2,2,4,29,13,4,0,9,16
1580000US2507000025010802,25025010802,"Census Tract 108.02, Suffolk County (part), Boston city, Massachusetts",13,133,470,430,117,64,9,44,313,40,12,3,2,0,1,9,28,13,3,1,9,15
1580000US2507000025020101,25025020101,"Census Tract 201.01, Suffolk County (part), Boston city, Massachusetts",23,256,809,747,232,116,29,87,515,62,12,1,0,0,1,11,50,23,6,2,15,27
1580000US2507000025020200,25025020200,"Census Tract 202, Suffolk County (part), Boston city, Massachusetts",26,108,429,347,78,45,9,24,269,82,20,4,0,1,3,16,62,26,11,1,14,36
1580000US2507000025020301,25025020301,"Census Tract 203.01, Suffolk County (part), Boston city, Massachusetts",4,82,322,279,76,53,9,14,203,43,12,2,1,1,0,10,31,4,2,0,2,27
1580000US2507000025020302,25025020302,"Census Tract 203.02, Suffolk County (part), Boston city, Massachusetts",5,37,155,133,32,18,3,11,101,22,6,0,0,0,0,6,16,5,2,0,3,11
1580000US2507000025020303,25025020303,"Census Tract 203.03, Suffolk County (part), Boston city, Massachusetts",31,139,462,364,97,62,12,23,267,98,37,11,5,2,4,26,61,31,8,4,19,30
1580000US2507000025030100,25025030100,"Census Tract 301, Suffolk County (part), Boston city, Massachusetts",8,43,196,135,33,21,5,7,102,61,23,2,1,0,1,21,38,8,2,0,6,30
1580000US2507000025030200,25025030200,"Census Tract 302, Suffolk County (part), Boston city, Massachusetts",11,37,182,133,24,12,1,11,109,49,16,2,0,0,2,14,33,11,0,1,10,22
1580000US2507000025030300,25025030300,"Census Tract 303, Suffolk County (part), Boston city, Massachusetts",29,163,741,627,121,81,9,31,506,114,38,13,5,1,7,25,76,29,15,2,12,47
1580000US2507000025030400,25025030400,"Census Tract 304, Suffolk County (part), Boston city, Massachusetts",15,60,268,197,44,19,11,14,153,71,15,1,0,0,1,14,56,15,4,0,11,41
1580000US2507000025030500,25025030500,"Census Tract 305, Suffolk County (part), Boston city, Massachusetts",8,77,372,304,68,38,10,20,236,68,20,1,0,1,0,19,48,8,3,1,4,40
1580000US2507000025040100,25025040100,"Census Tract 401, Suffolk County (part), Boston city, Massachusetts",6,148,451,399,138,89,7,42,261,52,20,4,1,0,3,16,32,6,3,0,3,26
1580000US2507000025040200,25025040200,"Census Tract 402, Suffolk County (part), Boston city, Massachusetts",102,195,362,182,82,35,18,29,100,180,24,11,4,2,5,13,156,102,24,33,45,54
1580000US2507000025040300,25025040300,"Census Tract 403, Suffolk County (part), Boston city, Massachusetts",108,358,845,622,237,150,29,58,385,223,51,13,2,1,10,38,172,108,27,26,55,64
1580000US2507000025040401,25025040401,"Census Tract 404.01, Suffolk County (part), Boston city, Massachusetts",58,206,558,356,138,64,25,49,218,202,34,10,5,1,4,24,168,58,7,9,42,110
1580000US2507000025040600,25025040600,"Census Tract 406, Suffolk County (part), Boston city, Massachusetts",15,150,488,400,131,72,16,43,269,88,26,4,4,0,0,22,62,15,7,0,8,47
1580000US2507000025040801,25025040801,"Census Tract 408.01, Suffolk County (part), Boston city, Massachusetts",175,393,903,581,200,64,30,106,381,322,46,18,3,4,11,28,276,175,48,38,89,101
1580000US2507000025050101,25025050101,"Census Tract 501.01, Suffolk County (part), Boston city, Massachusetts",240,608,1053,523,283,83,72,128,240,530,153,85,41,12,32,68,377,240,46,65,129,137
1580000US2507000025050200,25025050200,"Census Tract 502, Suffolk County (part), Boston city, Massachusetts",217,656,1148,593,339,125,81,133,254,555,218,100,46,19,35,118,337,217,53,48,116,120
1580000US2507000025050300,25025050300,"Census Tract 503, Suffolk County (part), Boston city, Massachusetts",132,246,464,210,98,27,21,50,112,254,48,16,7,0,9,32,206,132,17,40,75,74
