GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009
Id,Id2,Geography,Total:,Family households:,Family households: - Husband-wife family,Family households: - Other family:,"Family households: - Other family: - Male householder, no wife present","Family households: - Other family: - Female householder, no husband present",Nonfamily households:,Nonfamily households: - Householder living alone,Nonfamily households: - Householder not living alone
1580000US2507000025000100,25025000100,"Census Tract 1, Suffolk County (part), Boston city, Massachusetts",1616,698,445,253,91,162,918,394,524
1580000US2507000025000201,25025000201,"Census Tract 2.01, Suffolk County (part), Boston city, Massachusetts",1541,571,390,181,53,128,970,375,595
1580000US2507000025000202,25025000202,"Census Tract 2.02, Suffolk County (part), Boston city, Massachusetts",1480,711,429,282,58,224,769,361,408
1580000US2507000025000301,25025000301,"Census Tract 3.01, Suffolk County (part), Boston city, Massachusetts",1159,463,324,139,50,89,696,333,363
1580000US2507000025000302,25025000302,"Census Tract 3.02, Suffolk County (part), Boston city, Massachusetts",1276,545,416,129,37,92,731,321,410
1580000US2507000025000401,25025000401,"Census Tract 4.01, Suffolk County (part), Boston city, Massachusetts",2877,834,674,160,58,102,2043,1250,793
1580000US2507000025000402,25025000402,"Census Tract 4.02, Suffolk County (part), Boston city, Massachusetts",1461,473,389,84,22,62,988,439,549
1580000US2507000025000502,25025000502,"Census Tract 5.02, Suffolk County (part), Boston city, Massachusetts",1872,391,334,57,22,35,1481,998,483
1580000US2507000025000503,25025000503,"Census Tract 5.03, Suffolk County (part), Boston city, Massachusetts",1341,246,201,45,15,30,1095,667,428
1580000US2507000025000504,25025000504,"Census Tract 5.04, Suffolk County (part), Boston city, Massachusetts",2637,534,427,107,36,71,2103,1218,885
1580000US2507000025000601,25025000601,"Census Tract 6.01, Suffolk County (part), Boston city, Massachusetts",1450,521,397,124,41,83,929,438,491
1580000US2507000025000602,25025000602,"Census Tract 6.02, Suffolk County (part), Boston city, Massachusetts",1968,667,376,291,47,244,1301,854,447
1580000US2507000025000701,25025000701,"Census Tract 7.01, Suffolk County (part), Boston city, Massachusetts",2294,474,330,144,64,80,1820,876,944
1580000US2507000025000703,25025000703,"Census Tract 7.03, Suffolk County (part), Boston city, Massachusetts",1395,157,104,53,29,24,1238,644,594
1580000US2507000025000704,25025000704,"Census Tract 7.04, Suffolk County (part), Boston city, Massachusetts",2350,512,353,159,43,116,1838,943,895
1580000US2507000025000802,25025000802,"Census Tract 8.02, Suffolk County (part), Boston city, Massachusetts",3011,924,592,332,135,197,2087,744,1343
1580000US2507000025000803,25025000803,"Census Tract 8.03, Suffolk County (part), Boston city, Massachusetts",882,260,186,74,17,57,622,414,208
1580000US2507000025010103,25025010103,"Census Tract 101.03, Suffolk County (part), Boston city, Massachusetts",490,50,44,6,3,3,440,313,127
